address	zip	city	state	price	sq_feet	beds	baths	sell_date
2601 12th Ave W	98119	Seattle	WA	1999950	3731	5	3	December 16, 2016
2215 NW 93rd St	98117	Seattle	WA	875000	2720	4	2	December 16, 2016
3053 Alki Ave SW Apt B	98116	Seattle	WA	715000	1249	2	1+	December 16, 2016
5440 Leary Ave NW Unit 503	98107	Seattle	WA	458000	873	1	1	December 16, 2016
1312 S Shelton St	98108	Seattle	WA	425000	1940	4	2	December 16, 2016
3281 31st Ave SW	98126	Seattle	WA	607500	1876	3	2	December 16, 2016
14618 35th Ave NE	98155	Lake Forest Park	WA	595545	1686	3	2	December 16, 2016
6557 39th Ave NE	98115	Seattle	WA	700000	2380	4	2	December 16, 2016
16021 Dayton Ave N	98133	Shoreline	WA	685000	2089	5	3	December 16, 2016
2808 NW 56th St # B	98107	Seattle	WA	657000	1360	2	2+	December 16, 2016
10705 22nd Ave SW	98146	Seattle	WA	500000	2020	4	2	December 16, 2016
4031 39th Ave S	98118	Seattle	WA	749000	1975	3	2	December 16, 2016
909 5th Ave Unit 604	98164	Seattle	WA	679000	1208	1	1	December 16, 2016
8719 16th Ave SW	98106	Seattle	WA	469950	1368	3	2	December 16, 2016
13717 Linden Ave N Apt 118	98133	Seattle	WA	163000	693	1	1	December 16, 2016
214 NE 90th St	98115	Seattle	WA	650000	2060	4	2+	December 16, 2016
6544 24th Ave NW	98117	Seattle	WA	710000	1923	3	2	December 16, 2016
217 24th Ave E	98112	Seattle	WA	615000	1160	2	2	December 16, 2016
6509 Ellis Ave S # B	98108	Seattle	WA	560000	1401	3	2	December 16, 2016
6039 3rd Ave NW	98107	Seattle	WA	1300000	3640	4	3	December 16, 2016
2117 N 155th St	98133	Shoreline	WA	395000	880	2	1	December 16, 2016
2216 W Emerson St	98199	Seattle	WA	673950	1690	3	2	December 16, 2016
4800 Fauntleroy Way SW Apt 205	98116	Seattle	WA	276000	787	2	1	December 16, 2016
1308 6th Ave N Apt 302	98109	Seattle	WA	515000	850	2	2	December 16, 2016
12526 2nd Ave NE	98125	Seattle	WA	442000	1590	3	1+	December 16, 2016
1424 Belmont Ave Apt 361	98122	Seattle	WA	399000	650	1	1	December 16, 2016
583 Battery St Apt 605	98121	Seattle	WA	820000	1186	2	2	December 16, 2016
26510 19th Pl S	98198	Des Moines	WA	245000	1208	0	1	December 16, 2016
721 S Homer St	98108	Seattle	WA	575000	1570	3	2	December 16, 2016
12320 5th Ave SW	98146	Seattle	WA	425000	1540	3	2	December 16, 2016
19855 25th Ave NE Apt 311	98155	Shoreline	WA	225000	982	2	1	December 16, 2016
2214 W Viewmont Way W	98199	Seattle	WA	1535000	4400	3	2	December 15, 2016
3214 8th Ave W	98119	Seattle	WA	1375000	3410	6	4+	December 15, 2016
5439 Lake Washington Blvd S	98118	Seattle	WA	1298000	3237	4	3	December 15, 2016
4536 Stanford Ave NE	98105	Seattle	WA	1085000	2110	4	3	December 15, 2016
2032 NW 61st St	98107	Seattle	WA	800000	1750	3	2	December 15, 2016
611 22nd Ave	98122	Seattle	WA	774995	1820	3	2	December 15, 2016
2519 NW North Beach Dr	98117	Seattle	WA	665000	2080	4	3	December 15, 2016
1310 SW Trenton St	98106	Seattle	WA	535000	2025	4	2+	December 15, 2016
7935 4th Ave SW	98106	Seattle	WA	449950	1876	3	2+	December 15, 2016
909 5th Ave Unit 1203	98164	Seattle	WA	560000	979	1	1+	December 15, 2016
1857 NE 172nd St	98155	Shoreline	WA	675000	2236	6	3	December 15, 2016
1825 N 199th St	98133	Shoreline	WA	645000	1680	4	2	December 15, 2016
11409 Glendale Way S	98168	Seattle	WA	360000	2020	4	1+	December 15, 2016
13543 Burke Ave N	98133	Seattle	WA	506206	1490	3	1	December 15, 2016
2020 McGilvra Blvd E	98112	Seattle	WA	1179000	2190	4	2	December 15, 2016
4115 Beach Dr SW Apt D	98116	Seattle	WA	885000	1483	2	2+	December 15, 2016
14608 35th Ave NE Lot 2	98155	Lake Forest Park	WA	560790	1560	3	3	December 15, 2016
13415 22nd Ln S	98168	Seatac	WA	267000	1040	3	2	December 15, 2016
17920 48th Ave S	98188	Seatac	WA	307000	1270	2	1	December 15, 2016
99 Union St Unit 1201	98101	Seattle	WA	2875000	2082	2	2+	December 15, 2016
2336 22nd Ave S	98144	Seattle	WA	695000	2300	5	3	December 15, 2016
2205 44th Ave SW	98116	Seattle	WA	580000	830	2	1	December 15, 2016
3639 Courtland Pl S # A	98144	Seattle	WA	459000	1250	3	3	December 15, 2016
530 Broadway E Apt 321	98102	Seattle	WA	421000	499	1	1	December 15, 2016
3242 S 162nd St	98188	Seatac	WA	308500	1070	3	2	December 15, 2016
5034 Puget Blvd SW	98106	Seattle	WA	829950	3602	5	4+	December 15, 2016
4111 SW Oregon St	98116	Seattle	WA	620000	1480	2	2	December 15, 2016
6242 40th Ave NE	98115	Seattle	WA	1250000	2557	4	2+	December 14, 2016
7729 S 115th Pl	98178	Seattle	WA	599900	3180	4	3	December 14, 2016
3216 18th Ave S	98144	Seattle	WA	584000	1620	4	2	December 14, 2016
2125 1st Ave Apt 1505	98121	Seattle	WA	570000	700	0	1	December 14, 2016
2858 NW 59th St	98107	Seattle	WA	1490000	4667	5	4	December 14, 2016
148 N 81st St	98103	Seattle	WA	635000	2240	4	2	December 14, 2016
10501 8th Ave NE Apt 334	98125	Seattle	WA	185500	744	1	1	December 14, 2016
504 NW 196th Pl	98177	Shoreline	WA	620000	2330	5	2	December 14, 2016
2540 Dexter Ave N	98109	Seattle	WA	1000000	2700	3	2+	December 14, 2016
2032 S Lane St	98144	Seattle	WA	630000	2030	4	2	December 14, 2016
1707 NW 63rd St # A	98107	Seattle	WA	716500	1539	3	2	December 14, 2016
1014 E Roy St Apt 36	98102	Seattle	WA	520000	1216	2	1	December 14, 2016
615 E Pike St Apt 304	98122	Seattle	WA	697000	1490	2	2+	December 14, 2016
6921 24th Ave SW	98106	Seattle	WA	350000	1200	3	2	December 14, 2016
611 Highland Dr Apt 203	98109	Seattle	WA	303000	688	1	1	December 14, 2016
1505 15th Ave S # B	98144	Seattle	WA	544950	1273	2	2	December 14, 2016
12115 12th Ave NW	98177	Seattle	WA	1430750				December 14, 2016
139 56th Pl S	98168	Tukwila	WA	30000				December 14, 2016
1607 S Hanford St	98144	Seattle	WA	567000	1360	2	1	December 13, 2016
8234 17th Ave NE # B	98115	Seattle	WA	560000	1560	3	3	December 13, 2016
3641 Bagley Ave N	98103	Seattle	WA	1025000	2368	4	2	December 13, 2016
3742 SW Southern St	98126	Seattle	WA	550000	1120	3	1	December 13, 2016
2401 S 220th St	98198	Des Moines	WA	375000	1860	3	2	December 13, 2016
1564 Alki Ave SW Apt 204	98116	Seattle	WA	710000	1569	3	2	December 13, 2016
16033 8th Ave SW	98166	Burien	WA	315000	1080	4	2	December 13, 2016
520 NW 200th St	98177	Shoreline	WA	450000	2360	3	2+	December 13, 2016
18318 3rd Ave NE	98155	Shoreline	WA	751000	1690	4	2	December 13, 2016
